
== sample-plan.pdf @ 1/4" (2448x1584 img px, 36 mask px/ft) ==
    70.0 SF     34.0 LF  (bbox 34.0 LF, x1.00)  verts=  4  (378,513)pt
    66.0 SF     36.2 LF  (bbox 34.0 LF, x1.06)  verts=  7  (297,513)pt
    61.7 SF     41.0 LF  (bbox 40.8 LF, x1.01)  verts= 14  (378,162)pt
    60.0 SF     42.6 LF  (bbox 35.2 LF, x1.21)  verts= 23  (1539,432)pt
    60.0 SF     42.6 LF  (bbox 35.2 LF, x1.21)  verts= 23 sealed@1  (1620,459)pt
    58.6 SF     30.7 LF  (bbox 30.7 LF, x1.00)  verts=  4  (324,810)pt
    57.3 SF     42.3 LF  (bbox 34.3 LF, x1.23)  verts= 12  (1485,729)pt
    56.6 SF     47.2 LF  (bbox 37.2 LF, x1.27)  verts= 28  (1458,918)pt
    56.6 SF     47.2 LF  (bbox 37.2 LF, x1.27)  verts= 28  (1512,945)pt
    56.3 SF     48.8 LF  (bbox 48.8 LF, x1.00)  verts=  4  (2268,1971)pt
    55.4 SF     46.8 LF  (bbox 33.8 LF, x1.38)  verts= 39  (1917,918)pt  <<< PERIM EXCESS
    54.1 SF     36.7 LF  (bbox 32.3 LF, x1.14)  verts=  9  (1188,1080)pt
    54.0 SF     29.6 LF  (bbox 29.6 LF, x1.00)  verts=  4  (459,945)pt
    53.8 SF     48.6 LF  (bbox 48.6 LF, x1.00)  verts=  4  (2268,1944)pt
    53.8 SF     42.6 LF  (bbox 33.2 LF, x1.29)  verts= 17  (1917,540)pt
    52.3 SF     52.4 LF  (bbox 32.3 LF, x1.63)  verts= 34  (1917,1296)pt  <<< PERIM EXCESS
    52.3 SF     52.4 LF  (bbox 32.3 LF, x1.63)  verts= 34  (1971,1296)pt  <<< PERIM EXCESS
    51.9 SF     42.3 LF  (bbox 34.5 LF, x1.23)  verts= 31 sealed@1  (1809,513)pt
    51.9 SF     42.3 LF  (bbox 34.5 LF, x1.23)  verts= 31 sealed@1  (1809,540)pt
    51.6 SF     54.6 LF  (bbox 34.9 LF, x1.56)  verts= 42  (1917,459)pt  <<< PERIM EXCESS
    51.6 SF     54.6 LF  (bbox 34.9 LF, x1.56)  verts= 42 sealed@1  (1944,513)pt  <<< PERIM EXCESS
    50.5 SF     48.3 LF  (bbox 31.8 LF, x1.52)  verts= 38  (1917,1350)pt  <<< PERIM EXCESS
    50.5 SF     48.3 LF  (bbox 31.8 LF, x1.52)  verts= 38 sealed@1  (1971,1350)pt  <<< PERIM EXCESS
    48.4 SF     30.9 LF  (bbox 30.9 LF, x1.00)  verts=  4  (2484,1971)pt
    48.3 SF     43.5 LF  (bbox 32.7 LF, x1.33)  verts= 29  (1485,972)pt
    48.3 SF     43.5 LF  (bbox 32.7 LF, x1.33)  verts= 29  (1512,972)pt
    47.5 SF     29.3 LF  (bbox 29.3 LF, x1.00)  verts=  4  (2673,297)pt
    47.5 SF     29.3 LF  (bbox 29.3 LF, x1.00)  verts=  4  (2673,243)pt
    47.2 SF     30.7 LF  (bbox 30.7 LF, x1.00)  verts=  4  (2484,1917)pt
    46.9 SF     29.1 LF  (bbox 29.1 LF, x1.00)  verts=  4  (2754,243)pt
    46.9 SF     29.1 LF  (bbox 29.1 LF, x1.00)  verts=  4  (2835,297)pt
    46.9 SF     29.1 LF  (bbox 29.1 LF, x1.00)  verts=  4  (2835,243)pt
    46.9 SF     29.1 LF  (bbox 29.1 LF, x1.00)  verts=  4  (2754,297)pt
    46.7 SF     32.7 LF  (bbox 29.1 LF, x1.12)  verts= 10  (2565,243)pt
    46.4 SF     45.2 LF  (bbox 31.4 LF, x1.44)  verts= 38 sealed@1  (2133,1323)pt  <<< PERIM EXCESS
    46.4 SF     45.2 LF  (bbox 31.4 LF, x1.44)  verts= 38  (2106,1350)pt  <<< PERIM EXCESS
    46.4 SF     45.2 LF  (bbox 31.4 LF, x1.44)  verts= 38 sealed@1  (2160,1350)pt  <<< PERIM EXCESS
    46.4 SF     45.2 LF  (bbox 31.4 LF, x1.44)  verts= 38 sealed@1  (2160,1377)pt  <<< PERIM EXCESS
    46.4 SF     29.1 LF  (bbox 29.1 LF, x1.00)  verts=  4  (2673,189)pt
    46.3 SF     36.4 LF  (bbox 28.9 LF, x1.26)  verts= 16  (2106,1188)pt
    45.8 SF     28.9 LF  (bbox 28.9 LF, x1.00)  verts=  4  (2835,189)pt
    45.8 SF     28.9 LF  (bbox 28.9 LF, x1.00)  verts=  4  (2565,189)pt
    45.8 SF     28.9 LF  (bbox 28.9 LF, x1.00)  verts=  4  (2754,189)pt
    45.5 SF     41.6 LF  (bbox 31.4 LF, x1.33)  verts= 29 sealed@2  (2133,1377)pt
    45.4 SF     36.5 LF  (bbox 36.3 LF, x1.01)  verts=  6  (1269,945)pt
    44.9 SF     35.1 LF  (bbox 30.0 LF, x1.17)  verts= 16  (1296,702)pt
    44.4 SF     75.5 LF  (bbox 33.8 LF, x2.23)  verts= 54  (2079,513)pt  <<< PERIM EXCESS
    43.9 SF     88.7 LF  (bbox 68.8 LF, x1.29)  verts= 47 sealed@1  (1728,864)pt
    42.4 SF     37.8 LF  (bbox 30.7 LF, x1.23)  verts= 19  (1539,513)pt
    42.4 SF     37.8 LF  (bbox 30.7 LF, x1.23)  verts= 19 sealed@2  (1539,540)pt
    42.0 SF     49.9 LF  (bbox 36.7 LF, x1.36)  verts= 25  (1431,729)pt  <<< PERIM EXCESS
    42.0 SF     49.9 LF  (bbox 36.7 LF, x1.36)  verts= 25  (1431,810)pt  <<< PERIM EXCESS
    41.8 SF     67.3 LF  (bbox 32.3 LF, x2.09)  verts= 54 sealed@1  (2160,1242)pt  <<< PERIM EXCESS
    41.8 SF     67.3 LF  (bbox 32.3 LF, x2.09)  verts= 54 sealed@1  (2160,1269)pt  <<< PERIM EXCESS
    41.8 SF     67.3 LF  (bbox 32.3 LF, x2.09)  verts= 54 sealed@1  (2133,1296)pt  <<< PERIM EXCESS
    41.8 SF     67.3 LF  (bbox 32.3 LF, x2.09)  verts= 54 sealed@1  (2160,1296)pt  <<< PERIM EXCESS
    41.7 SF     70.1 LF  (bbox 32.3 LF, x2.17)  verts= 56  (2106,1242)pt  <<< PERIM EXCESS
